RANK	#EPOCH	EPOCH	IO	STAG	FW	BW	WU	ACC	LOG
[0]	45	417.3679356575	6.1052956581	7.6626830101	97.4277648926	0.0000000000	0.0000000000	0.0000000000	0.6705055237	4.1064348221
[0]	46	425.7074549198	7.6582431793	7.6203274727	96.7614898682	0.0000000000	0.0000000000	0.0000000000	0.6954660416	4.1417613029
[0]	47	381.6550550461	5.5627336502	7.3468790054	99.1429367065	0.0000000000	0.0000000000	0.0000000000	0.6473689079	4.1630029678
[0]	48	390.8562915325	3.0928118229	7.4378509521	97.9521179199	0.0000000000	0.0000000000	0.0000000000	0.6577036381	4.1276988983
[0]	49	380.0342419147	3.0187506676	7.4595189095	100.3971023560	0.0000000000	0.0000000000	0.0000000000	0.6116933823	4.1777219772
[0]	50	381.7537119389	4.5592355728	7.4991970062	100.3769683838	0.0000000000	0.0000000000	0.0000000000	0.6079339981	4.1853189468
[0]	51	382.6869857311	7.0915355682	7.5634431839	97.2670288086	0.0000000000	0.0000000000	0.0000000000	0.6624286175	4.1194100380
[0]	52	394.5789396763	9.4579639435	7.4244756699	100.2098236084	0.0000000000	0.0000000000	0.0000000000	0.6427953243	4.2625999451
[0]	53	404.7919065952	3.8633067608	7.5680208206	97.8780975342	0.0000000000	0.0000000000	0.0000000000	0.6629798412	4.1621580124
[0]	54	386.5515882969	5.4199357033	7.4107918739	99.2435607910	0.0000000000	0.0000000000	0.0000000000	0.6594085693	4.2448596954
[0]	55	397.1921043396	4.5428004265	7.4584398270	96.5046157837	0.0000000000	0.0000000000	0.0000000000	0.6933996677	4.0913982391
[0]	56	390.3747248650	9.4968671799	7.4519691467	98.2587890625	0.0000000000	0.0000000000	0.0000000000	0.6657025814	4.1620969772
[0]	57	418.6256101131	12.2399387360	7.4103412628	99.5073928833	0.0000000000	0.0000000000	0.0000000000	0.6464097500	4.2462806702
[0]	58	411.5474064350	11.8736543655	7.5730772018	99.1095199585	0.0000000000	0.0000000000	0.0000000000	0.6388614178	4.1686096191
[0]	59	418.6594300270	22.3920898438	7.4805831909	97.5448379517	0.0000000000	0.0000000000	0.0000000000	0.6785242558	4.1156530380
[0]	60	380.7735512257	4.5430927277	7.5413618088	98.9234542847	0.0000000000	0.0000000000	0.0000000000	0.6357223988	4.1287846565
[0]	61	394.4143662453	10.3585586548	7.5109324455	97.9858474731	0.0000000000	0.0000000000	0.0000000000	0.6649670601	4.1317000389
[0]	62	393.1486041546	3.1545336246	7.4366216660	97.9557189941	0.0000000000	0.0000000000	0.0000000000	0.6789777279	4.1335964203
[0]	63	394.5281293392	7.2479782104	7.3891744614	100.3676223755	0.0000000000	0.0000000000	0.0000000000	0.6333434582	4.2381091118
[0]	64	377.2320401669	3.1455891132	7.4536762238	97.5232543945	0.0000000000	0.0000000000	0.0000000000	0.6793549061	4.1344909668
[0]	65	388.5948131084	16.6589431763	7.4432420731	96.6636657715	0.0000000000	0.0000000000	0.0000000000	0.6840457916	4.1046800613
[0]	66	363.7088773251	4.2105360031	7.7077417374	99.2617111206	0.0000000000	0.0000000000	0.0000000000	0.6153333187	4.1378703117
[0]	67	369.2557182312	6.1423120499	7.3829803467	97.7053909302	0.0000000000	0.0000000000	0.0000000000	0.6701927185	4.1028070450
[0]	68	390.2403695583	3.7287578583	7.5319852829	99.0349578857	0.0000000000	0.0000000000	0.0000000000	0.6446990967	4.1290473938
[0]	69	376.3713741302	6.0176877975	7.3788847923	99.7834701538	0.0000000000	0.0000000000	0.0000000000	0.6079642773	4.1266498566
[0]	70	372.4428913593	3.2240672112	7.2922458649	104.4394760132	0.0000000000	0.0000000000	0.0000000000	0.5818510056	4.4032974243
[0]	71	369.6135470867	5.8401069641	7.3560752869	101.0192337036	0.0000000000	0.0000000000	0.0000000000	0.6422417164	4.2831115723
[0]	72	375.9964406490	4.6935167313	7.3617706299	100.5289459229	0.0000000000	0.0000000000	0.0000000000	0.6076855659	4.1493334770
[0]	73	375.0832731724	2.9266226292	7.3612852097	102.1283798218	0.0000000000	0.0000000000	0.0000000000	0.5879640579	4.2242083549
[0]	74	377.5927782059	3.1718828678	7.3355550766	100.1521453857	0.0000000000	0.0000000000	0.0000000000	0.6327943802	4.2033691406
[0]	75	354.5679876804	3.2262899876	7.2970938683	102.4571304321	0.0000000000	0.0000000000	0.0000000000	0.5720500946	4.2586946487
[0]	76	373.5160970688	3.3850419521	7.3824987411	99.7210464478	0.0000000000	0.0000000000	0.0000000000	0.6451182365	4.1763372421
[0]	77	370.2528057098	3.8441622257	7.3151350021	101.2232818604	0.0000000000	0.0000000000	0.0000000000	0.5844361782	4.1648535728
[0]	78	361.0286035538	3.6760914326	7.4620752335	98.1027984619	0.0000000000	0.0000000000	0.0000000000	0.6562674046	4.1050281525
[0]	79	365.3909928799	3.0985457897	7.4373769760	99.7187347412	0.0000000000	0.0000000000	0.0000000000	0.6236531734	4.1462841034
