RANK	#EPOCH	EPOCH	IO	STAG	FW	BW	WU	ACC	LOG
[0]	45	286.1474130154	29.0527400970	6.3057909012	109.7610549927	0.0000000000	0.0000000000	0.0000000000	0.5238709450	3.2075278759
[0]	46	286.7764165401	30.9229679108	6.2996492386	108.4886322021	0.0000000000	0.0000000000	0.0000000000	0.5316114426	3.1913959980
[0]	47	309.8980956078	49.3213310242	6.3582735062	108.9755859375	0.0000000000	0.0000000000	0.0000000000	0.5271098614	3.2555582523
[0]	48	300.7167217731	31.9561767578	6.3443727493	108.5304641724	0.0000000000	0.0000000000	0.0000000000	0.5291864872	3.2867498398
[0]	49	288.1197166443	35.1116142273	6.2920055389	108.0347747803	0.0000000000	0.0000000000	0.0000000000	0.5314230919	3.2793695927
[0]	50	295.5797948837	39.8871459961	6.3257284164	107.0862274170	0.0000000000	0.0000000000	0.0000000000	0.5466594696	3.1622102261
[0]	51	290.6059610844	39.3673324585	6.4095377922	108.4561691284	0.0000000000	0.0000000000	0.0000000000	0.5315580368	3.2528169155
[0]	52	276.0036709309	31.2229614258	6.2853546143	109.7038421631	0.0000000000	0.0000000000	0.0000000000	0.5063223839	3.1866178513
[0]	53	290.9413132668	42.0554504395	6.2614135742	108.3091964722	0.0000000000	0.0000000000	0.0000000000	0.5323824883	3.2669615746
[0]	54	313.0835978985	50.4485282898	6.2593669891	108.4832763672	0.0000000000	0.0000000000	0.0000000000	0.5296931267	3.2653610706
[0]	55	312.4354367256	54.7620048523	6.2906847000	109.6315765381	0.0000000000	0.0000000000	0.0000000000	0.5081639290	3.3026242256
[0]	56	280.8436930180	34.7152137756	6.2156190872	108.7334976196	0.0000000000	0.0000000000	0.0000000000	0.5076234341	3.2369263172
[0]	57	314.0292053223	49.0160026550	6.2715406418	108.7024765015	0.0000000000	0.0000000000	0.0000000000	0.5432887077	3.2563142776
[0]	58	309.6805586815	37.8034896851	6.2391700745	109.6564865112	0.0000000000	0.0000000000	0.0000000000	0.5265152454	3.3044440746
[0]	59	308.5681831837	38.0242080688	6.2584052086	109.0241851807	0.0000000000	0.0000000000	0.0000000000	0.5346896648	3.2852807045
[0]	60	285.5090746880	32.5216369629	6.3015823364	108.5170822144	0.0000000000	0.0000000000	0.0000000000	0.5145449638	3.2048158646
[0]	61	300.5994336605	41.0792236328	6.3038997650	110.1749496460	0.0000000000	0.0000000000	0.0000000000	0.5073001385	3.1923916340
[0]	62	291.8235626221	42.0843925476	6.3023233414	108.3948440552	0.0000000000	0.0000000000	0.0000000000	0.5374689102	3.2456490993
[0]	63	270.7623026371	23.2387981415	6.2792582512	109.5434341431	0.0000000000	0.0000000000	0.0000000000	0.4992625713	3.2042095661
[0]	64	279.7152378559	26.9801883698	6.2300052643	110.5335083008	0.0000000000	0.0000000000	0.0000000000	0.4956333637	3.1936123371
[0]	65	287.9795854092	34.1579475403	6.2624588013	108.3765258789	0.0000000000	0.0000000000	0.0000000000	0.5204014778	3.3358411789
[0]	66	276.8741583824	22.6653156281	6.2567772865	109.4859619141	0.0000000000	0.0000000000	0.0000000000	0.5194118023	3.1776969433
[0]	67	299.5008597374	34.7442779541	6.3058304787	107.4489288330	0.0000000000	0.0000000000	0.0000000000	0.5412914753	3.2304589748
[0]	68	284.4828042984	31.4673099518	6.3138408661	109.6959991455	0.0000000000	0.0000000000	0.0000000000	0.5041329861	3.2355513573
[0]	69	302.4955039024	25.4057483673	6.4080715179	107.4725418091	0.0000000000	0.0000000000	0.0000000000	0.5492088795	3.1534411907
[0]	70	289.1200594902	31.6734752655	6.3011331558	108.3084945679	0.0000000000	0.0000000000	0.0000000000	0.5392005444	3.1364688873
[0]	71	301.6715834141	25.5269298553	6.3846693039	106.6175308228	0.0000000000	0.0000000000	0.0000000000	0.5506038666	3.2114291191
[0]	72	274.8573257923	21.9047088623	6.2482271194	110.1540374756	0.0000000000	0.0000000000	0.0000000000	0.4939568043	3.2416064739
[0]	73	310.3298537731	35.6001472473	6.3067364693	108.0772018433	0.0000000000	0.0000000000	0.0000000000	0.5559911728	3.2031297684
[0]	74	304.2829866409	32.9319381714	6.2536120415	109.8431701660	0.0000000000	0.0000000000	0.0000000000	0.5174608231	3.2526881695
[0]	75	301.3495271206	41.1588134766	6.2920989990	107.7396087646	0.0000000000	0.0000000000	0.0000000000	0.5276713371	3.1570510864
[0]	76	308.1160781384	47.1358184814	6.2918205261	109.3377075195	0.0000000000	0.0000000000	0.0000000000	0.5280122757	3.2329607010
[0]	77	309.5086057186	27.4673709869	6.2962603569	108.2946929932	0.0000000000	0.0000000000	0.0000000000	0.5445475578	3.2858374119
[0]	78	273.5576214790	28.1383876801	6.2953462601	108.9490890503	0.0000000000	0.0000000000	0.0000000000	0.5186932087	3.2737734318
[0]	79	295.3240075111	33.2914619446	6.2747573853	108.9421463013	0.0000000000	0.0000000000	0.0000000000	0.5426623821	3.2711911201
