epoch,finetune_deit_tiny_cifar10_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_wRfix_E73 - eval_top1,finetune_deit_tiny_cifar100_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_wRfix_E73 - eval_top1,finetune_deit_tiny_cifar100_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_forgetlagfix - eval_top1,finetune_deit_tiny_cifar10_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_forgetlagfix - eval_top1,finetune_deit_tiny_cifar100_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_sbfix_BETA1.0 - eval_top1,finetune_deit_tiny_cifar10_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_sbfix_BETA1.0 - eval_top1,finetune_deit_tiny_cifar10_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_kakurenbo_F0.20 - eval_top1,finetune_deit_tiny_cifar100_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_kakurenbo_F0.20 - eval_top1,finetune_deit_tiny_cifar100_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_kakurenbo_F0.30 - eval_top1,finetune_deit_tiny_cifar10_from_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_kakurenbo_F0.30 - eval_top1,finetune_deit_tiny_cifar10_from_fdb3k_lr1.0e-3_epochs80_bs512___80ps_noCut-mixup - eval_top1,finetune_deit_tiny_cifar100_from_fdb3k_lr1.0e-3_epochs80_bs512___80ps_noCut-mixup - eval_top1,finetune_deit_tiny_cifar100_from_fdb3k_lr1.0e-3_epochs80_bs512_Baseline_Ep80_2 - eval_top1,finetune_deit_tiny_cifar10_from_fdb3k_lr1.0e-3_epochs80_bs512_Baseline_Ep80_2 - eval_top1
34,82.2200037109375,53.2300012695313,54.0300016601563,80.6300037109375,46.240001953125,75.2600041992188,80.6500043945313,52.3300022460938,49.6200018554688,78.8700036132813,82.0800041992188,51.3400022460938,23.5200002929687,53.4900006103516
35,82.6400046875,53.5400024414063,53.4700020507813,81.48000390625,46.6300025390625,76.480004296875,81.110003515625,52.1100014648438,49.81000234375,79.1400033203125,82.60000234375,51.03000234375,23.7400006591797,54.620002734375
36,82.6800033203125,53.8900026367188,54.1400024414063,82.3200037109375,47.4100015625,76.4900041992187,81.3600033203125,52.170002734375,49.090001953125,79.7000048828125,82.9100041015625,51.8200020507812,24.0800009521484,55.0400020996094
37,83.460003515625,53.6300018554688,53.8000020507813,82.580003515625,47.3500021484375,76.8000032226562,82.00000390625,52.86000234375,49.6700020507813,80.7500038085938,83.2500046875,52.5100020507813,24.53000078125,55.1000020507813
38,83.260004296875,53.8900021484375,54.5400021484375,82.1300033203125,47.2700016601563,77.1000018554688,81.10000390625,53.6200022460938,50.3100020507813,79.9500036132813,83.040004296875,52.2300018554687,24.9400003662109,56.9400029296875
39,84.240004296875,54.9400020507813,55.0900014648438,83.0300037109375,48.4800025390625,77.740003515625,81.760004296875,53.790001171875,50.7500004882813,79.830002734375,84.050003515625,53.2400022460938,25.3400008544922,57.1900028320312
40,83.6200041992188,55.2700032226563,55.72000234375,82.850003515625,48.4200020507813,77.7900033203125,82.1000043945313,54.80000234375,51.6200017578125,80.1700032226563,83.930003125,54.2300014648438,25.9100001708984,57.2800012695313
41,83.9400025390625,55.4900017578125,55.5800015625,83.690003515625,48.8600016601563,77.2500030273438,82.340004296875,55.2500032226562,51.6000017578125,80.64000390625,84.1300036132813,53.7700024414063,25.7800014160156,57.300001953125
42,84.7900044921875,56.81000234375,56.670001953125,83.9200015625,49.5200017578125,78.00000390625,83.050005078125,54.5400014648437,52.9700020507813,81.3400029296875,84.6600025390625,55.1200015625,26.6100008300781,58.4700020019531
43,83.1500025390625,56.9600022460938,57.0000012695313,82.540002734375,49.5300024414063,77.3300025390625,82.3400029296875,55.250003125,52.8300022460938,81.0600021484375,83.690003515625,55.490001953125,26.870001953125,57.3500019042969
