epoch,pretrain_deit_tiny_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_sbfix_BETA1.0 - train_loss,pretrain_deit_tiny_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_wRfix - train_loss,pretrain_deit_tiny_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_forgetlagfix - train_loss,pretrain_deit_tiny_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_kakurenbo_F0.20 - train_loss,pretrain_deit_tiny_fdb3k_lr1.0e-3_epochs80_bs512_noCut-mixup_kakurenbo_F0.30 - train_loss,pretrain_deit_tiny_fdb3k_lr1.0e-3_epochs80_bs512__80ps_noCut-mixup - train_loss
41,4.43212825059891,4.13110106732665,3.78040609840585,4.05163820028305,4.18647516690768,3.78427149868813
42,4.40924407243729,4.1047481048007,3.76702367758551,4.02642920732498,4.17815090535761,3.75630416389273
43,4.42410972515742,4.09912128007713,3.75677179889519,4.01432370662689,4.16289927671244,3.75206081406409
44,4.26202280521393,4.10612201690674,3.73971693054969,3.99565818548202,4.16485385580377,3.71160006122429
45,4.35357012351354,4.0781091521768,3.73996856633355,4.00292723178864,4.16108426680932,3.71371988488846
46,4.49724891185761,4.06282019414822,3.72574578012739,3.96959049701691,4.13933011201712,3.70836406194863
47,4.31780256032944,4.05009119250193,3.69594995314334,3.96904288768768,4.13243298216181,3.6783705398816
48,4.33385937611262,4.03527145025109,3.67202439428378,3.95682109594345,4.08678702993707,3.66560329910086
49,4.38398380279541,4.01341044001219,3.66386922467656,3.9386111330986,4.07769976343427,3.65444658984657
50,4.34421168963114,4.00538386617388,3.64958150847619,3.92432963132858,4.07036276964041,3.63866272092867
51,4.37191046873728,3.98866755822126,3.64098189257774,3.90490134477615,4.05758868730985,3.62519297880285
52,4.3629767258962,3.96459802459268,3.614862315795,3.89598933696747,4.06542146860898,3.60237123986252
53,4.30524466832479,3.97715330123901,3.61180656296866,3.90631021499634,4.03587994208703,3.57546888279314
54,4.32151587406794,3.95191818125108,3.58599595061871,3.87378874540329,4.03723202694903,3.56874745232718
55,4.33005261023839,3.94405167844115,3.57050858625845,3.83934091091156,4.01516665207161,3.5471983577023
56,4.34789822896322,3.91494272736942,3.56128259065772,3.85485181570053,4.0017704649286,3.55798269520287
57,4.34499867359797,3.87420516054169,3.53438526842774,3.84219581842422,3.970272396947,3.52515490716245
58,4.37705537080765,3.88803460417675,3.51817133045998,3.83855021953583,3.96667912242177,3.51583876730013
59,4.37019894520442,3.85815278221579,3.49160297377771,3.80693397521973,3.95889636972448,3.48904802017853
60,4.24330177307129,3.84701185266511,3.48189719184106,3.76630776496161,3.8661390542984,3.46017731939043
61,4.27875188589096,3.84351673647135,3.47087822441293,3.72937754903521,3.83776464997506,3.46897184548258
62,4.33329033851624,3.8235384356074,3.45831478543642,3.72494172822861,3.84958077450188,3.43743942164573
63,4.38910783529282,3.80620975454314,3.43554822537078,3.70047490937369,3.81208561634531,3.40593639341723
64,4.28639133373896,3.77880762204403,3.40718347685678,3.68636812936692,3.80566779448062,3.38219357338272
65,4.15589203437169,3.76602605811688,3.40103493618364,3.68683253696987,3.80730340918716,3.39755423730161
66,4.20961923996607,3.75104957067666,3.37882409175905,3.67650676681882,3.8038867493065,3.364785426805
67,4.26830636262894,3.73908687839989,3.37007722133348,3.66966128803435,3.76780322863131,3.35520534355099
68,4.24268742076686,3.72051538539534,3.34715973028616,3.64458159492129,3.74917621515235,3.34714962254051
69,4.25121646324793,3.71679505580614,3.36459688378983,3.61304069019499,3.74853422203842,3.33202028074184
70,4.10270637671153,3.70851845300498,3.32889046989569,3.6042561235882,3.73874172142574,3.32452186816881
71,4.28299789031347,3.6935480021629,3.31403791804274,3.59246334121341,3.73400863336057,3.32727849182962
72,4.29647396802902,3.68605108221038,3.31246730059135,3.58019244557335,3.70662299710877,3.30365154122104
73,4.14623048305512,3.67077783977284,3.28571361854297,3.56714621952602,3.68525918405883,3.29274018672334
74,4.05594790776571,,3.28035078329198,3.55196505047026,3.68261673985695,3.28885827946062
75,4.0551038980484,,3.28864362660576,3.53897808165777,3.66778698502755,3.28407254940321
76,4.12815989653269,,3.29083510807582,3.5295484043303,3.652385818715,3.28213766442627
77,4.1631014029185,,3.27639320517788,3.49804284686134,3.62946613710754,3.26276180924488
78,4.18637176419868,,3.27781041930704,3.49164536339896,3.62104669882327,3.26499922936704
79,4.1752183119456,,3.27075812996936,3.47009117262704,3.59099717529453,3.26513635811686
