RANK	#EPOCH	EPOCH	IO	STAG	FW	BW	WU	ACC	LOG
[0]	39	599.1602632999	3.9142587185	7.4082956314	97.3922576904	0.0000000000	0.0000000000	0.0000000000	0.6329438686	187.1311340332
[0]	40	567.8324613571	11.2513637543	7.3981208801	100.7206039429	0.0000000000	0.0000000000	0.0000000000	0.5645627975	199.2576141357
[0]	41	576.6783442497	6.3200654984	7.3169865608	101.9821929932	0.0000000000	0.0000000000	0.0000000000	0.5537374020	199.6705474854
[0]	42	585.1774983406	5.8101854324	7.3877558708	99.0401382446	0.0000000000	0.0000000000	0.0000000000	0.5679647923	196.7678222656
[0]	43	550.9218003750	14.0171298981	7.2878246307	100.6782608032	0.0000000000	0.0000000000	0.0000000000	0.5485565662	184.4931030273
[0]	44	549.2906651497	5.0847568512	7.2684392929	103.6192245483	0.0000000000	0.0000000000	0.0000000000	0.5406126976	187.7775573730
[0]	45	529.0276477337	11.1302566528	7.4106388092	100.1400375366	0.0000000000	0.0000000000	0.0000000000	0.5845491886	169.8503875732
[0]	46	551.8539547920	7.4718637466	7.4915375710	101.0884170532	0.0000000000	0.0000000000	0.0000000000	0.5264430046	190.3640136719
[0]	47	539.2338836193	3.4532628059	7.3488368988	100.4052505493	0.0000000000	0.0000000000	0.0000000000	0.5528433323	172.2725524902
[0]	48	543.0857028961	4.2069606781	7.3462171555	101.5687713623	0.0000000000	0.0000000000	0.0000000000	0.5348253250	183.6349029541
[0]	49	538.0148484707	4.7073431015	7.3940863609	100.7044754028	0.0000000000	0.0000000000	0.0000000000	0.5407617092	167.2591552734
[0]	50	532.1805093288	4.3821048737	7.2809495926	103.4596786499	0.0000000000	0.0000000000	0.0000000000	0.5268456936	187.4632110596
[0]	51	568.5325825214	5.7984647751	7.3191404343	99.0003051758	0.0000000000	0.0000000000	0.0000000000	0.5945765972	203.1003723145
[0]	52	516.5320448875	5.3516659737	7.4713048935	101.0255737305	0.0000000000	0.0000000000	0.0000000000	0.5302042961	166.1014099121
[0]	53	536.7561912537	7.7292165756	7.5195617676	99.7205200195	0.0000000000	0.0000000000	0.0000000000	0.5511212349	178.7727508545
[0]	54	507.8315219879	3.4574460983	7.4110097885	103.0551910400	0.0000000000	0.0000000000	0.0000000000	0.4860892296	166.2245330811
[0]	55	511.5644397736	3.5169632435	7.2543458939	103.8996429443	0.0000000000	0.0000000000	0.0000000000	0.4690368176	167.7222595215
[0]	56	505.3795173168	3.5674655437	7.5118455887	103.5139007568	0.0000000000	0.0000000000	0.0000000000	0.4840071201	164.1353302002
[0]	57	514.6065123081	4.0087013245	7.2736887932	106.3068389893	0.0000000000	0.0000000000	0.0000000000	0.4810507298	167.7091979980
[0]	58	552.0575847626	3.7010109425	7.1800231934	103.5998077393	0.0000000000	0.0000000000	0.0000000000	0.4897181988	197.9608001709
[0]	59	552.4059545994	3.5544800758	7.2448253632	103.0823287964	0.0000000000	0.0000000000	0.0000000000	0.4923722744	201.4485778809
[0]	60	535.2975499630	4.4426336288	7.2848443985	101.5297546387	0.0000000000	0.0000000000	0.0000000000	0.5231919289	177.3054809570
[0]	61	540.2811927795	3.5178780556	7.2715196609	102.8007965088	0.0000000000	0.0000000000	0.0000000000	0.4846932888	183.8018493652
[0]	62	533.8489871025	3.5291140079	7.1883888245	104.0855865479	0.0000000000	0.0000000000	0.0000000000	0.4841756821	177.7193908691
[0]	63	525.7019426823	4.2525162697	7.1706085205	103.9176177979	0.0000000000	0.0000000000	0.0000000000	0.4900109768	177.4293060303
[0]	64	539.2784361839	3.5631620884	7.3128252029	102.4988555908	0.0000000000	0.0000000000	0.0000000000	0.5152378082	178.8475952148
[0]	65	546.1420660019	5.0194721222	7.3834433556	105.1314392090	0.0000000000	0.0000000000	0.0000000000	0.4788055420	196.1525268555
[0]	66	528.4466526508	3.6299498081	7.3012886047	102.4801025391	0.0000000000	0.0000000000	0.0000000000	0.5045139790	180.1815338135
[0]	67	961.8812303543	48.7853698730	7.3597383499	99.7690887451	0.0000000000	0.0000000000	0.0000000000	0.5503256321	178.2581787109
[0]	68	532.8003468513	3.3849539757	7.1138658524	108.3059921265	0.0000000000	0.0000000000	0.0000000000	0.4672451019	187.8703918457
[0]	69	506.9345707893	3.5341408253	7.3515939713	102.5331192017	0.0000000000	0.0000000000	0.0000000000	0.4849219322	162.4188385010
[0]	70	524.7158467770	3.6245317459	7.2322607040	104.2041015625	0.0000000000	0.0000000000	0.0000000000	0.4883470535	178.7134704590
[0]	71	519.5697839260	4.1932234764	7.1989927292	105.0868301392	0.0000000000	0.0000000000	0.0000000000	0.4907777309	171.9598236084
[0]	72	519.4378125668	3.9501531124	7.3326425552	103.0397338867	0.0000000000	0.0000000000	0.0000000000	0.5034446716	171.4590301514
[0]	73	517.7686328888	3.5262713432	7.2215909958	103.8236541748	0.0000000000	0.0000000000	0.0000000000	0.4843370914	172.8323669434
