RANK	#EPOCH	EPOCH	IO	STAG	FW	BW	WU	ACC	LOG
[0]	13	0.4970848560	0.3001978397	0.0102846622	0.0358736515	0.0000000000	0.0000000000	0.0000000000	0.0001711845	0.0035746098
[0]	14	0.4629213810	0.2928414345	0.0103316307	0.0373909473	0.0000000000	0.0000000000	0.0000000000	0.0001707077	0.0034987926
[0]	15	0.4488427639	0.3113534451	0.0110881329	0.0360877514	0.0000000000	0.0000000000	0.0000000000	0.0001640320	0.0035810471
[0]	16	0.4247276783	0.3040969372	0.0113005638	0.0365710258	0.0000000000	0.0000000000	0.0000000000	0.0001628399	0.0036108494
[0]	17	0.4499065876	0.3140101433	0.0101454258	0.0367906094	0.0000000000	0.0000000000	0.0000000000	0.0001642704	0.0042209625
[0]	18	0.4442620277	0.3000838757	0.0102155209	0.0368268490	0.0000000000	0.0000000000	0.0000000000	0.0001716614	0.0035991669
[0]	19	0.4958305359	0.3013305664	0.0103418827	0.0365400314	0.0000000000	0.0000000000	0.0000000000	0.0001676083	0.0041630268
[0]	20	0.5406482220	0.3433742523	0.0102350712	0.0358979702	0.0000000000	0.0000000000	0.0000000000	0.0001652241	0.0035312176
[0]	21	0.4268271923	0.2919549942	0.0106148720	0.0363113880	0.0000000000	0.0000000000	0.0000000000	0.0001690388	0.0034968853
[0]	22	0.5089211464	0.3029589653	0.0108790398	0.0371572971	0.0000000000	0.0000000000	0.0000000000	0.0001723766	0.0035054684
[0]	23	0.4479048252	0.3020939827	0.0118317604	0.0428125858	0.0000000000	0.0000000000	0.0000000000	0.0001764297	0.0039002895
[0]	24	0.4277596474	0.2988374233	0.0101695061	0.0361945629	0.0000000000	0.0000000000	0.0000000000	0.0001637936	0.0035483837
[0]	25	0.4455230236	0.3181073666	0.0109329224	0.0344061852	0.0000000000	0.0000000000	0.0000000000	0.0001683235	0.0034446716
[0]	26	0.4706218243	0.3365907669	0.0105359554	0.0366873741	0.0000000000	0.0000000000	0.0000000000	0.0001664162	0.0037617683
[0]	27	0.4904112816	0.2906134129	0.0111663342	0.0360145569	0.0000000000	0.0000000000	0.0000000000	0.0001630783	0.0035789013
[0]	28	0.4705085754	0.2973406315	0.0102424622	0.0369672775	0.0000000000	0.0000000000	0.0000000000	0.0001716614	0.0042355061
[0]	29	0.4031150341	0.2864725590	0.0107424259	0.0370328426	0.0000000000	0.0000000000	0.0000000000	0.0001697540	0.0036532879
[0]	30	0.4520006180	0.2865445614	0.0102074146	0.0377063751	0.0000000000	0.0000000000	0.0000000000	0.0001752377	0.0037543774
[0]	31	0.4260914326	0.3136363029	0.0107665062	0.0362622738	0.0000000000	0.0000000000	0.0000000000	0.0001680851	0.0035161972
[0]	32	0.4179351330	0.3049983978	0.0108420849	0.0333430767	0.0000000000	0.0000000000	0.0000000000	0.0001630783	0.0034768581
RANK	#EPOCH	EPOCH	IO	STAG	FW	BW	WU	ACC	LOG
[0]	0	42.1773266792	6.8599748611	0.4717402458	24.8494853973	0.0000000000	0.0000000000	0.0000000000	0.0003876686	0.0524926186
[0]	1	1.0884773731	0.8302295208	0.0189659595	0.0723917484	0.0000000000	0.0000000000	0.0000000000	0.0004947186	0.0077266693
[0]	2	1.0145640373	0.7635111809	0.0188271999	0.0715620518	0.0000000000	0.0000000000	0.0000000000	0.0003488064	0.0075032711
[0]	3	1.0219988823	0.7580916882	0.0181503296	0.0786385536	0.0000000000	0.0000000000	0.0000000000	0.0003623962	0.0077648163
[0]	4	0.9906079769	0.7439277172	0.0184221268	0.0752534866	0.0000000000	0.0000000000	0.0000000000	0.0003187656	0.0078716278
[0]	5	1.0194718838	0.7107777596	0.0193545818	0.0858566761	0.0000000000	0.0000000000	0.0000000000	0.0003609657	0.0212862492
[0]	6	1.0187938213	0.7026228905	0.0185494423	0.0975570679	0.0000000000	0.0000000000	0.0000000000	0.0004017353	0.0075936317
[0]	7	1.0414927006	0.7691287994	0.0189549923	0.0811669827	0.0000000000	0.0000000000	0.0000000000	0.0002973080	0.0218858719
[0]	8	1.0346224308	0.7742686272	0.0191955566	0.0862622261	0.0000000000	0.0000000000	0.0000000000	0.0003135204	0.0072996616
[0]	9	1.0119326115	0.7628984451	0.0179684162	0.0647857189	0.0000000000	0.0000000000	0.0000000000	0.0003743172	0.0072174072
[0]	10	0.9931812286	0.7726764679	0.0187053680	0.0807447433	0.0000000000	0.0000000000	0.0000000000	0.0003895760	0.0073382854
[0]	11	1.0010743141	0.7401490211	0.0185692310	0.0848603249	0.0000000000	0.0000000000	0.0000000000	0.0003604889	0.0075411797
[0]	12	0.9998986721	0.7781965733	0.0180282593	0.0654871464	0.0000000000	0.0000000000	0.0000000000	0.0003678799	0.0074396133
[0]	13	0.9971592426	0.7632496357	0.0180413723	0.0675885677	0.0000000000	0.0000000000	0.0000000000	0.0003449917	0.0072696209
[0]	14	1.0156259537	0.7715744972	0.0187664032	0.0702068806	0.0000000000	0.0000000000	0.0000000000	0.0003290176	0.0073957443
[0]	15	0.9881746769	0.7435681820	0.0188784599	0.0715396404	0.0000000000	0.0000000000	0.0000000000	0.0003740788	0.0073590279
[0]	16	1.0162234306	0.7985541821	0.0179097652	0.0659947395	0.0000000000	0.0000000000	0.0000000000	0.0003612041	0.0073566437
[0]	17	1.0165894032	0.7347934246	0.0185649395	0.0725164413	0.0000000000	0.0000000000	0.0000000000	0.0003168583	0.0078594685
[0]	18	0.9915544987	0.7748024464	0.0183689594	0.0696136951	0.0000000000	0.0000000000	0.0000000000	0.0003931522	0.0072040558
[0]	19	1.0100944042	0.7917771339	0.0178933144	0.0666148663	0.0000000000	0.0000000000	0.0000000000	0.0003752708	0.0073544979
[0]	20	1.0085783005	0.7696666718	0.0193195343	0.0841534138	0.0000000000	0.0000000000	0.0000000000	0.0003671646	0.0075094700
[0]	21	1.0131430626	0.7625319958	0.0197279453	0.0850753784	0.0000000000	0.0000000000	0.0000000000	0.0003886223	0.0157299042
[0]	22	1.0211844444	0.7377214432	0.0183682442	0.0813124180	0.0000000000	0.0000000000	0.0000000000	0.0003714561	0.0244593620
[0]	23	0.9950640202	0.7471652031	0.0186758041	0.0821616650	0.0000000000	0.0000000000	0.0000000000	0.0003526211	0.0076541901
[0]	24	1.0170094967	0.7853968143	0.0186161995	0.0701508522	0.0000000000	0.0000000000	0.0000000000	0.0003683567	0.0073018074
[0]	25	0.9880387783	0.7067294121	0.0183479786	0.0769095421	0.0000000000	0.0000000000	0.0000000000	0.0003619194	0.0078701973
[0]	26	1.0288889408	0.6721160412	0.0186095238	0.0725357533	0.0000000000	0.0000000000	0.0000000000	0.0002822876	0.0197672844
[0]	27	0.9981997013	0.7861919403	0.0180141926	0.0676701069	0.0000000000	0.0000000000	0.0000000000	0.0003695488	0.0073201656
[0]	28	0.9933061600	0.7710821629	0.0180773735	0.0671701431	0.0000000000	0.0000000000	0.0000000000	0.0003595352	0.0072083473
[0]	29	1.0156040192	0.6480202675	0.0181434155	0.0719854832	0.0000000000	0.0000000000	0.0000000000	0.0003948212	0.0076999664
[0]	30	1.0000200272	0.7972538471	0.0177085400	0.0639495850	0.0000000000	0.0000000000	0.0000000000	0.0003736019	0.0072166920
[0]	31	1.0354287624	0.7664966583	0.0189459324	0.0815329552	0.0000000000	0.0000000000	0.0000000000	0.0002887249	0.0080838203
[0]	32	1.0226821899	0.7855799198	0.0180897713	0.0676093102	0.0000000000	0.0000000000	0.0000000000	0.0003302097	0.0075783730
[0]	33	1.0004522800	0.7794868946	0.0180890560	0.0711951256	0.0000000000	0.0000000000	0.0000000000	0.0002887249	0.0075457096
[0]	34	1.0399501324	0.8107581139	0.0186696053	0.0734066963	0.0000000000	0.0000000000	0.0000000000	0.0005757809	0.0076880455
[0]	35	1.0078547001	0.6708390713	0.0185244083	0.0841784477	0.0000000000	0.0000000000	0.0000000000	0.0003526211	0.0367152691
[0]	36	1.0010213852	0.7898738384	0.0179293156	0.0653395653	0.0000000000	0.0000000000	0.0000000000	0.0003647804	0.0071456432
[0]	37	1.0125508308	0.7890484333	0.0188548565	0.0744211674	0.0000000000	0.0000000000	0.0000000000	0.0003731251	0.0077486038
[0]	38	1.0016763210	0.7851645947	0.0180492401	0.0642650127	0.0000000000	0.0000000000	0.0000000000	0.0005712509	0.0072298050
[0]	39	0.9941883087	0.7408227921	0.0189251900	0.0717551708	0.0000000000	0.0000000000	0.0000000000	0.0003867149	0.0075640678
[0]	40	1.0318009853	0.7786829472	0.0185551643	0.0800056458	0.0000000000	0.0000000000	0.0000000000	0.0003311634	0.0078797340
[0]	41	1.0133826733	0.7739410400	0.0179183483	0.0652427673	0.0000000000	0.0000000000	0.0000000000	0.0003604889	0.0086009502
[0]	42	0.9985117912	0.7675278187	0.0188462734	0.0690543652	0.0000000000	0.0000000000	0.0000000000	0.0003535748	0.0072710514
[0]	43	1.0060510635	0.7648594379	0.0184037685	0.0825057030	0.0000000000	0.0000000000	0.0000000000	0.0003442764	0.0077872276
[0]	44	1.0083963871	0.7813448906	0.0179977417	0.0660164356	0.0000000000	0.0000000000	0.0000000000	0.0003445148	0.0073783398
[0]	45	1.0263915062	0.7805697918	0.0180673599	0.0652337074	0.0000000000	0.0000000000	0.0000000000	0.0003378391	0.0073490143
[0]	46	1.0046393871	0.7842776775	0.0186247826	0.0708861351	0.0000000000	0.0000000000	0.0000000000	0.0003640652	0.0077462196
[0]	47	0.9830565453	0.7670578957	0.0181438923	0.0649604797	0.0000000000	0.0000000000	0.0000000000	0.0003478527	0.0071849823
[0]	48	1.0081760883	0.6064698696	0.0183892250	0.0858190060	0.0000000000	0.0000000000	0.0000000000	0.0003685951	0.0076088905
[0]	49	0.9960546494	0.7699255943	0.0178470612	0.0653748512	0.0000000000	0.0000000000	0.0000000000	0.0003657341	0.0071237087
[0]	50	1.0084426403	0.6758592129	0.0184364319	0.0742971897	0.0000000000	0.0000000000	0.0000000000	0.0003514290	0.0078911781
[0]	51	0.9997494221	0.7539236546	0.0179848671	0.0692191124	0.0000000000	0.0000000000	0.0000000000	0.0003657341	0.0074112415
[0]	52	0.9946980476	0.7860007286	0.0179738998	0.0644054413	0.0000000000	0.0000000000	0.0000000000	0.0003621578	0.0070772171
[0]	53	1.0084047318	0.7972054482	0.0187630653	0.0662977695	0.0000000000	0.0000000000	0.0000000000	0.0003545284	0.0071179867
RANK	#EPOCH	EPOCH	IO	STAG	FW	BW	WU	ACC	LOG
[0]	0	361.2485997677	4.5230646133	7.3641595840	108.3917922974	0.0000000000	0.0000000000	0.0000000000	0.5428566933	4.2589254379
[0]	1	377.0519778728	3.9563620090	7.4562473297	100.5052032471	0.0000000000	0.0000000000	0.0000000000	0.6331281662	3.9532949924
